id,ticker,company_name,sector,industry,country,website,business_summary,market_cap,enterprise_value,shares_outstanding,float_shares,employees,exchange,currency,created_at,updated_at,operating_margins,debt_to_equity,net_income_to_common,enterprise_to_revenue,revenue_growth,last_updated,gross_margins,book_value,fifty_two_week_low,enterprise_to_ebitda,two_hundred_day_average,trailing_eps,fifty_day_average,short_ratio,avg_volume,peg_ratio,return_on_equity,price_to_book_ratio,fifty_two_week_high,earnings_quarterly_growth,price_to_book,ebitda_margins,trailing_pe,profit_margins,dividend_yield,current_ratio,beta,forward_pe,earnings_growth,return_on_assets,price_to_sales,last_dividend_value,ex_dividend_date,forward_eps
,AML.L,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,Auto Manufacturers,United Kingdom,https://www.astonmartinlagonda.com,"Aston Martin Lagonda Global Holdings plc engages in the design, development, manufacture, and marketing of luxury sports cars in the United Kingdom, the Americas, the Middle East, Africa, rest of Europe, and the Asia Pacific. The company also engages in the sale of parts; sale of vehicles; servicing and restoration of vehicles; and brand licensing and motorsport activities. In addition, it provides engineering, and sales and marketing services. The company sells its vehicles through a network of dealers. Aston Martin Lagonda Global Holdings plc was founded in 1913 and is headquartered in Gaydon, the United Kingdom.",814814336,1907566976,1010830016,545267804,3006,LSE,GBp,2025-05-29 01:53:28.33311,,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGO.L,Bango PLC,Technology,Software - Infrastructure,United Kingdom,https://bango.com,"Bango PLC, together with its subsidiaries, develops, markets, and sells technology that enables the marketing and sale of products and services to mobile phone users. The company offers Bango Payments, which connects online app stores and merchants. It also offers digital vending machine services for resellers and subscriptions providers to enable bundling of subscription services. In addition, the company provides bango audiences for marketing. Further, it provides subscribers through resellers, purchase behvaior targeting, carrier billing, and bundling services. The company serves app developers, retail, and telecom sectors. Bango PLC was founded in 1999 and is based in Cambridge, the United Kingdom.",71836488,73323048,76830496,43408918,274,LSE,GBp,2025-05-29 01:53:28.590648,,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HWDN.L,Howden Joinery Group Plc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United Kingdom,https://www.howdenjoinerygroupplc.com,"Howden Joinery Group Plc supplies various kitchen, joinery, and hardware products in the United Kingdom, France, Belgium, and the Republic of Ireland. The company's product portfolio worktops, sinks and taps, flooring, appliances, and handles; internal and external doors, such as fire doors, flooring, stair parts, and general joinery items; and cooking, cleaning, and cooling appliances. Howden Joinery Group Plc was incorporated in 1987 and is based in London, the United Kingdom.",4579123712,5079358976,546108992,584920314,12000,LSE,GBp,2025-06-24 00:53:11.67975,,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JDW.L,J D Wetherspoon plc,Consumer Cyclical,Restaurants,United Kingdom,https://www.jdwetherspoon.com,"J D Wetherspoon plc owns and operates pubs and hotels in the United Kingdom and the Republic of Ireland. The company was founded in 1979 and is based in Watford, the United Kingdom.",787663040,1964754176,107973000,73923184,42009,LSE,GBp,2025-05-29 01:53:29.074407,,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KZG.L,Kazera Global plc,Financial Services,Asset Management,United Kingdom,https://www.kazeraglobal.com,"Kazera Global plc operates as a mining investment company in the United Kingdom and South Africa. It operates through Holding Company Expenses, Heavy Mineral Sands Mining Activities, and Diamond Mining Activities segments. The company primarily explores for diamonds and heavy mineral sands. It owns 100% interests in the Diamond project, a mining operation located in Alexander Bay, South Africa; and 70% interests in the Walviskop Heavy Mineral Sands project located in Alexander Bay, South Africa. The company was formerly known as Kennedy Ventures plc and changed its name to Kazera Global plc in March 2018. Kazera Global plc was incorporated in 2006 and is based in London, the United Kingdom.",15904038,15333962,978710016,647728960,35,LSE,GBp,2025-05-29 01:53:29.309952,,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GTE.L,Gran Tierra Energy Inc.,Energy,Oil & Gas E&P,,,"Gran Tierra Energy Inc., together with its subsidiaries, engages in the exploration and production of oil and gas properties in Colombia, Canada, and Ecuador. The company was founded in 2003 and is headquartered in Calgary, Canada.",157214048,822547008,35329000,22788962,431,,,2025-06-23 20:48:44.604236,2025-06-23 20:48:44.604236,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MRK.L,Marks Electrical Group PLC,Consumer Cyclical,Specialty Retail,,,"Marks Electrical Group PLC, together with its subsidiary, engages in the supply of domestic electrical appliances and consumer electronics in the United Kingdom. The company also provides removal and recycling of packaging; collection and recycling of old appliances; and extended warranties and installation services. It sells its products through online platform. The company was formerly known as Marks Electrical Holding Limited and changed its name to Marks Electrical Group PLC in October 2021. Marks Electrical Group PLC was founded in 1987 and is headquartered in Leicester, United Kingdom.",61766508,58183940,104689000,9104330,250,,,2025-06-23 21:20:42.062138,2025-06-23 21:20:42.062138,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets,,,"FRP Advisory Group plc, together with its subsidiaries, provides business advisory services to companies, lenders, investors, individuals, and other stakeholders. The company's services include corporate finance advisory services comprising mergers and acquisitions (M&A), strategic advisory and valuations, capital raising, special situations M&A, partial exits, and financial due diligence; and debt advisory services, such as asset based lending, raising and refinancing debt, debt amendments and extensions, restructuring debt, and corporate and leveraged debt advisory. Its services comprise forensic services, including forensic investigations, dispute, compliance and risk advisory, and forensic technology services; and restructuring advisory services, such as corporate financial advisory, formal insolvency appointments, informal restructuring advisory, personal insolvency, and general advice to various stakeholders. The company also provides buy and sell side financial due diligence; lender services, including pre-lending due diligence and independent business reviews; valuation services; financial modelling; board and C-suite advisory; and pensions advisory services. FRP Advisory Group plc was founded in 2010 and is based in London, the United Kingdom.",319712896,301540768,257832992,203052371,777,,,2025-06-23 21:20:52.420766,2025-06-23 21:20:52.420766,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONDO.L,Ondo InsurTech Plc,Technology,Scientific & Technical Instruments,,,"Ondo InsurTech Plc provides domestic leak detection services and technology in the United Kingdom, Nordics, and the United States. The company offers LeakBot system, a proprietary leak detection system for home insurance industry and homeowners. Its LeakBot system enables household insurers to mitigate the cost of claims arising due to an escape of water. The company was formerly known as Spinnaker Acquisitions Plc and changed its name to Ondo InsurTech Plc in March 2022. The company was incorporated in 2021 and is based in London, the United Kingdom.",27987248,30449362,128677000,84462334,30,,,2025-06-23 21:21:02.678982,2025-06-23 21:21:02.678982,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DGE.L,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom,https://www.diageo.com,"Diageo plc, together with its subsidiaries, engages in the production, marketing, and sale of alcoholic beverages. The company offers scotch, gin, vodka, rum, raki, liqueur, wine, tequila, Chinese white spirits, cachaça, and brandy, as well as beer, including cider and flavored malt beverages. It also provides Chinese, Canadian, Irish, American, and Indian-Made Foreign Liquor whiskies, as well as flavored malt beverages, ready to drink, and non-alcoholic products. The company provides its products under the Johnnie Walker, Crown Royal, J&B, Buchanan's, Smirnoff, Cîroc, Ketel One, Captain Morgan, Baileys, Don Julio, Casamigos, Tanqueray, Guinness, Shui Jing Fang, Yenì, McDowell's, Don Papa, Aviation American, Seagram, Seagram's 7 Crown, Zacapa, Black Dog, Black & White, Signature, Royal Challenge, Godawan, Antiquity, Gordon's, Old Parr, Windsor, Bundaberg, Ypióca, Bulleit, and Bell's brand names. It operates in the United States, the United Kingdom, Türkiye, Australia, Korea, India, Greater China, Brazil, Mexico, South Africa, Nigeria, and internationally. The company was incorporated in 1886 and is headquartered in London, the United Kingdom.",41079214080,64835010560,2222299904,2212204840,30092,LSE,GBp,2025-06-24 00:53:11.448941,,,,,,,2025-06-26 14:40:11.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
