setup_id,setup_date,stock_ticker,day_number,trading_date,stock_price,benchmark_price,stock_return_day,benchmark_return_day,outperformance_day,stock_return_cumulative,benchmark_return_cumulative,outperformance_cumulative,is_outperforming_day,benchmark_ticker,calculation_date
MSLH_2024-11-06,2024-11-06,MSLH.L,1,2024-11-07,325.43643,738.23,0.0,-0.10960132,0.10960132,0.0,-0.10960132,0.10960132,true,^FTAI,2025-06-25 20:45:38.033
MSLH_2024-11-06,2024-11-06,MSLH.L,2,2024-11-08,321.9371,734.36,-1.0752726,-0.52422625,-0.5510463,-1.0752726,-0.633253,-0.44201958,false,^FTAI,2025-06-25 20:45:38.035
MSLH_2024-11-06,2024-11-06,MSLH.L,3,2024-11-11,338.93378,737.93,5.2795014,0.48613858,4.7933626,4.1474595,-0.15019287,4.2976527,true,^FTAI,2025-06-25 20:45:38.036
MSLH_2024-11-06,2024-11-06,MSLH.L,4,2024-11-12,329.43564,730.86,-2.8023582,-0.95808643,-1.8442718,1.2288749,-1.1068404,2.3357153,false,^FTAI,2025-06-25 20:45:38.038
MSLH_2024-11-06,2024-11-06,MSLH.L,5,2024-11-13,322.437,729.29,-2.1244292,-0.21481644,-1.9096127,-0.92166084,-1.3192791,0.39761826,false,^FTAI,2025-06-25 20:45:38.04
MSLH_2024-11-06,2024-11-06,MSLH.L,6,2024-11-14,322.93692,729.38,0.15504065,0.012344453,0.1426962,-0.7680491,-1.3070976,0.5390484,true,^FTAI,2025-06-25 20:45:38.041
MSLH_2024-11-06,2024-11-06,MSLH.L,7,2024-11-15,334.93457,727.14,3.7151682,-0.30710882,4.0222774,2.9185848,-1.6101921,4.528777,true,^FTAI,2025-06-25 20:45:38.043
MSLH_2024-11-06,2024-11-06,MSLH.L,8,2024-11-18,324.4366,727.55,-3.1343303,0.056381594,-3.1907117,-0.3072234,-1.5547184,1.2474949,false,^FTAI,2025-06-25 20:45:38.044
MSLH_2024-11-06,2024-11-06,MSLH.L,9,2024-11-19,335.93436,724.23,3.54391,-0.45632705,4.000237,3.2257988,-2.0039508,5.2297497,true,^FTAI,2025-06-25 20:45:38.046
MSLH_2024-11-06,2024-11-06,MSLH.L,10,2024-11-20,317.438,722.34,-5.505947,-0.26096043,-5.244987,-2.4577591,-2.2596817,-0.19807743,false,^FTAI,2025-06-25 20:45:38.047
