announced_date,traded_date,action,notifier,price,currency,amount,holding,ticker,role,created_at,updated_at
2025-06-25,2025-06-23,Buy,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,5327.0,GBP,,3,CWK,,2025-06-25 23:07:11.932,2025-06-25 23:07:11.932
2025-06-11,2025-06-10,Buy,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,5300.0,GBP,,375,CWK,,2025-06-25 23:07:11.935,2025-06-25 23:07:11.935
2025-06-11,2025-06-10,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,5300.0,GBP,,378,CWK,,2025-06-25 23:07:11.937,2025-06-25 23:07:11.937
2025-05-22,2025-05-21,Buy,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,5472.8,GBP,,3,CWK,,2025-06-25 23:07:11.94,2025-06-25 23:07:11.94
2025-04-25,2025-04-22,Transfer From,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,,GBP,,1,CWK,,2025-06-25 23:07:11.941,2025-06-25 23:07:11.941
2025-04-25,2025-04-22,Buy,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,50.6,GBP,,2,CWK,,2025-06-25 23:07:11.942,2025-06-25 23:07:11.942
2025-04-23,2025-03-06,Buy,Rachel Howarth held the position of Independent Non-Executive Director at the time of this trade.Rachel Howarth,4922.0,GBP,,170,CWK,,2025-06-25 23:07:11.944,2025-06-25 23:07:11.944
2025-03-26,2025-03-24,Exercise of Option,Adam Couch held the position of CEO at the time of this trade.Adam Couch,2534.0,GBP,,591,CWK,,2025-06-25 23:07:11.946,2025-06-25 23:07:11.946
2025-03-25,2025-03-21,Buy,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,5050.0,GBP,,3,CWK,,2025-06-25 23:07:11.947,2025-06-25 23:07:11.947
2025-03-24,2025-03-21,Sell,Jim Brisby held the position of Commercial Director at the time of this trade.Jim Brisby,5010.6,GBP,,7000,CWK,,2025-06-25 23:07:11.948,2025-06-25 23:07:11.948
2025-02-24,2025-02-21,Buy,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,4929.6,GBP,,3,CWK,,2025-06-25 23:07:11.95,2025-06-25 23:07:11.95
2024-12-27,2024-12-23,Buy,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,4915.0,GBP,,3,CWK,,2025-06-25 23:07:11.951,2025-06-25 23:07:11.951
2024-10-01,2024-09-27,Sell,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,4910.0,GBP,,16500,CWK,,2025-06-25 23:07:11.952,2025-06-25 23:07:11.952
2024-09-25,2024-09-24,Buy,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4657.5,GBP,,427,CWK,,2025-06-25 23:07:11.954,2025-06-25 23:07:11.954
2024-09-25,2024-09-24,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4657.5,GBP,,430,CWK,,2025-06-25 23:07:11.955,2025-06-25 23:07:11.955
2024-09-24,2024-09-24,Buy,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4657.5,GBP,,427,CWK,,2025-06-25 23:07:11.956,2025-06-25 23:07:11.956
2024-09-24,2024-09-24,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4657.5,GBP,,430,CWK,,2025-06-25 23:07:11.957,2025-06-25 23:07:11.957
2024-09-16,2024-09-12,Buy Dividends,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4627.79,GBP,,55,CWK,,2025-06-25 23:07:11.96,2025-06-25 23:07:11.96
2024-08-12,2024-08-09,Sell,Adam Couch held the position of CEO at the time of this trade.Adam Couch,4560.0,GBP,,1,CWK,,2025-06-25 23:07:11.963,2025-06-25 23:07:11.963
2024-08-06,2024-08-06,Exercise of Option,Adam Couch held the position of CEO at the time of this trade.Adam Couch,,GBP,,26249,CWK,,2025-06-25 23:07:11.964,2025-06-25 23:07:11.964
2024-08-06,2024-08-06,Sell,Adam Couch held the position of CEO at the time of this trade.Adam Couch,4519.0,GBP,,12399,CWK,,2025-06-25 23:07:11.965,2025-06-25 23:07:11.965
2024-08-06,2024-08-06,Exercise of Option,Jim Brisby held the position of Commercial Director at the time of this trade.Jim Brisby,,GBP,,17353,CWK,,2025-06-25 23:07:11.967,2025-06-25 23:07:11.967
2024-08-06,2024-08-06,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4519.0,GBP,,8197,CWK,,2025-06-25 23:07:11.968,2025-06-25 23:07:11.968
2024-08-06,2024-08-06,Sell,Jim Brisby held the position of Commercial Director at the time of this trade.Jim Brisby,4519.0,GBP,,8197,CWK,,2025-06-25 23:07:11.969,2025-06-25 23:07:11.969
2024-08-06,2024-08-06,Sell,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,4519.0,GBP,,8197,CWK,,2025-06-25 23:07:11.97,2025-06-25 23:07:11.97
2024-08-06,2024-08-06,Exercise of Option,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,,GBP,,17353,CWK,,2025-06-25 23:07:11.972,2025-06-25 23:07:11.972
2024-08-06,2024-08-06,Exercise of Option,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,,GBP,,17353,CWK,,2025-06-25 23:07:11.973,2025-06-25 23:07:11.973
2024-08-05,2024-08-01,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4730.0,GBP,,25000,CWK,,2025-06-25 23:07:11.974,2025-06-25 23:07:11.974
2024-08-05,2024-08-01,Sell,Adam Couch held the position of CEO at the time of this trade.Adam Couch,4757.34,GBP,,25000,CWK,,2025-06-25 23:07:11.975,2025-06-25 23:07:11.975
2024-03-27,2024-03-25,Sell,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,4090.0,GBP,,1330,CWK,,2025-06-25 23:07:11.977,2025-06-25 23:07:11.977
2024-03-21,2024-03-21,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4183.58,GBP,,400,CWK,,2025-06-25 23:07:11.978,2025-06-25 23:07:11.978
2024-03-15,2024-03-14,Exercise of Option,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,2800.0,GBP,,321,CWK,,2025-06-25 23:07:11.98,2025-06-25 23:07:11.98
2024-02-14,2024-02-13,Buy Dividends,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,4010.11,GBP,,21,CWK,,2025-06-25 23:07:11.981,2025-06-25 23:07:11.981
2023-12-05,2023-12-05,Sell,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,3879.0,GBP,,2666,CWK,,2025-06-25 23:07:11.983,2025-06-25 23:07:11.983
2023-12-01,2023-11-29,Exercise of Option,Christopher Aldersley held the position of COO at the time of this trade.Christopher Aldersley,,GBP,,2666,CWK,,2025-06-25 23:07:11.985,2025-06-25 23:07:11.985
2023-09-12,2023-09-11,Buy,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,3451.0,GBP,,576,CWK,,2025-06-25 23:07:11.986,2025-06-25 23:07:11.986
2023-09-12,2023-09-11,Sell,Mark Bottomley held the position of CFO at the time of this trade.Mark Bottomley,3451.0,GBP,,580,CWK,,2025-06-25 23:07:11.987,2025-06-25 23:07:11.987
2025-06-25,2025-06-24,Transfer From,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,289498,BT.A,,2025-06-25 23:08:00.656,2025-06-25 23:08:00.656
2025-06-25,2025-06-24,Sell,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,190.0,GBP,,134546,BT.A,,2025-06-25 23:08:00.661,2025-06-25 23:08:00.661
2025-02-04,2025-02-04,Buy,Alex Chisholm held the position of Non-Executive Director at the time of this trade.Alex Chisholm,141.0,GBP,,30000,BT.A,,2025-06-25 23:08:00.663,2025-06-25 23:08:00.663
2024-11-08,2024-11-08,Buy,Tushar Morzaria held the position of Non-Executive Director at the time of this trade.Tushar Morzaria,136.0,GBP,,35000,BT.A,,2025-06-25 23:08:00.664,2025-06-25 23:08:00.664
2024-08-06,2024-08-05,Sell,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,134.0,GBP,,198537,BT.A,,2025-06-25 23:08:00.666,2025-06-25 23:08:00.666
2024-08-06,2024-08-05,Transfer From,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,421573,BT.A,,2025-06-25 23:08:00.667,2025-06-25 23:08:00.667
2024-06-25,2024-06-24,Sell,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,143.0,GBP,,625017,BT.A,,2025-06-25 23:08:00.669,2025-06-25 23:08:00.669
2024-06-25,2024-06-24,Transfer From,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,770625,BT.A,,2025-06-25 23:08:00.67,2025-06-25 23:08:00.67
2024-05-20,2024-05-20,Buy,Tushar Morzaria held the position of Non-Executive Director at the time of this trade.Tushar Morzaria,133.0,GBP,,53270,BT.A,,2025-06-25 23:08:00.671,2025-06-25 23:08:00.671
2024-02-29,2024-02-29,Buy,Matthew Key held the position of Independent Non-Executive Director at the time of this trade.Matthew Key,104.0,GBP,,28000,BT.A,,2025-06-25 23:08:00.672,2025-06-25 23:08:00.672
2024-02-20,2024-02-15,Buy,Steven (Steve) Guggenheimer held the position of Independent Non-Executive Director at the time of this trade.Steven (Steve) Guggenheimer,1.34,GBP,,4700,BT.A,,2025-06-25 23:08:00.674,2025-06-25 23:08:00.674
2023-12-14,2023-12-13,Sell,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,125.0,GBP,,160000,BT.A,,2025-06-25 23:08:00.675,2025-06-25 23:08:00.675
2023-11-24,2023-11-24,Buy,Sara Weller held the position of Independent Non-Executive Director at the time of this trade.Sara Weller,121.0,GBP,,5000,BT.A,,2025-06-25 23:08:00.676,2025-06-25 23:08:00.676
2023-10-17,2023-10-14,Buy Dividends,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,117.0,GBP,,14257,BT.A,,2025-06-25 23:08:00.677,2025-06-25 23:08:00.677
2023-09-15,2023-09-14,Buy Dividends,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,117.0,GBP,,312489,BT.A,,2025-06-25 23:08:00.679,2025-06-25 23:08:00.679
2023-08-25,2023-08-23,Buy,Maggie Chan Jones held the position of Independent Non-Executive Director at the time of this trade.Maggie Chan Jones,1.42,GBP,,70000,BT.A,,2025-06-25 23:08:00.68,2025-06-25 23:08:00.68
2023-08-07,2023-08-07,Buy,Matthew Key held the position of Independent Non-Executive Director at the time of this trade.Matthew Key,113.0,GBP,,19900,BT.A,,2025-06-25 23:08:00.681,2025-06-25 23:08:00.681
2023-08-07,2023-08-03,Transfer From,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,185975,BT.A,,2025-06-25 23:08:00.682,2025-06-25 23:08:00.682
2023-08-07,2023-08-03,Transfer From,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,,GBP,,278163,BT.A,,2025-06-25 23:08:00.685,2025-06-25 23:08:00.685
2023-06-01,2023-06-01,Buy,Sara Weller held the position of Independent Non-Executive Director at the time of this trade.Sara Weller,146.0,GBP,,5000,BT.A,,2025-06-25 23:08:00.687,2025-06-25 23:08:00.687
2023-05-30,2023-05-16,Buy,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,152.0,GBP,,1182,BT.A,,2025-06-25 23:08:00.688,2025-06-25 23:08:00.688
2022-08-03,2022-08-02,Sell,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,160.0,GBP,,126830,BT.A,,2025-06-25 23:08:00.689,2025-06-25 23:08:00.689
2022-08-03,2022-08-02,Transfer From,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,84403,BT.A,,2025-06-25 23:08:00.691,2025-06-25 23:08:00.691
2022-08-03,2022-08-02,Transfer From,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,,GBP,,31781,BT.A,,2025-06-25 23:08:00.692,2025-06-25 23:08:00.692
2022-08-03,2022-08-02,Sell,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,160.0,GBP,,216800,BT.A,,2025-06-25 23:08:00.693,2025-06-25 23:08:00.693
2022-05-18,2022-05-16,Buy,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,182.0,GBP,,985,BT.A,,2025-06-25 23:08:00.694,2025-06-25 23:08:00.694
2021-08-09,2021-08-05,Sell,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,172.0,GBP,,78874,BT.A,,2025-06-25 23:08:00.695,2025-06-25 23:08:00.695
2021-08-09,2021-08-05,Transfer From,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,167480,BT.A,,2025-06-25 23:08:00.697,2025-06-25 23:08:00.697
2021-05-19,2021-05-17,Buy,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,165.0,GBP,,1085,BT.A,,2025-06-25 23:08:00.698,2025-06-25 23:08:00.698
2021-05-19,2021-05-17,Buy,Jan du Plessis held the position of Chairman at the time of this trade.Jan du Plessis,165.0,GBP,,1084,BT.A,,2025-06-25 23:08:00.699,2025-06-25 23:08:00.699
2021-05-17,2021-05-17,Buy,Sara Weller held the position of Independent Non-Executive Director at the time of this trade.Sara Weller,164.0,GBP,,30000,BT.A,,2025-06-25 23:08:00.701,2025-06-25 23:08:00.701
2021-05-17,2021-05-14,Buy,Philip Jansen held the position of CEO at the time of this trade.Philip Jansen,163.0,GBP,,1250000,BT.A,,2025-06-25 23:08:00.702,2025-06-25 23:08:00.702
2021-03-31,2021-03-31,Notification of Holding,Isabel Hudson held the position of Independent Non-Executive Director at the time of this trade.Isabel Hudson,,GBP,,,BT.A,,2025-06-25 23:08:00.703,2025-06-25 23:08:00.703
2021-03-31,2021-03-31,Notification of Holding,Iain C Conn held the position of Senior Independent Director at the time of this trade.Iain C Conn,,GBP,,,BT.A,,2025-06-25 23:08:00.705,2025-06-25 23:08:00.705
2021-03-31,2021-03-31,Notification of Holding,Ian Cheshire held the position of Independent Non-Executive Director at the time of this trade.Ian Cheshire,,GBP,,,BT.A,,2025-06-25 23:08:00.706,2025-06-25 23:08:00.706
2021-03-31,2021-03-31,Notification of Holding,Simon Lowth held the position of CFO at the time of this trade.Simon Lowth,,GBP,,,BT.A,,2025-06-25 23:08:00.707,2025-06-25 23:08:00.707
