id,ticker,notification_date,notifier,role,transaction_date,nature_of_transaction,number_of_securities,price_per_security,value_of_transaction,currency,total_holdings_post_transaction,scraped_at,created_at
1,PAY,2025-06-17,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-06-12,Transfer From,,,,GBP,36423,2025-06-23 18:52:49.33,2025-06-23 18:52:49.33
2,PAY,2025-05-23,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-05-22,Buy,,677.0000,,GBP,18,2025-06-23 18:52:49.333,2025-06-23 18:52:49.333
3,PAY,2025-05-23,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-05-22,Transfer From,,,,GBP,18,2025-06-23 18:52:49.335,2025-06-23 18:52:49.335
4,PAY,2025-05-23,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-05-22,Transfer From,,,,GBP,18,2025-06-23 18:52:49.337,2025-06-23 18:52:49.337
5,PAY,2025-05-23,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-05-22,Buy,,677.0000,,GBP,18,2025-06-23 18:52:49.338,2025-06-23 18:52:49.338
6,PAY,2025-04-23,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-04-22,Transfer From,,,,GBP,20,2025-06-23 18:52:49.34,2025-06-23 18:52:49.34
7,PAY,2025-04-23,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-04-22,Buy,,641.5000,,GBP,20,2025-06-23 18:52:49.341,2025-06-23 18:52:49.341
8,PAY,2025-04-23,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-04-22,Transfer From,,,,GBP,20,2025-06-23 18:52:49.342,2025-06-23 18:52:49.342
9,PAY,2025-04-23,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-04-22,Buy,,641.5000,,GBP,20,2025-06-23 18:52:49.344,2025-06-23 18:52:49.344
10,PAY,2025-03-31,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-03-31,Buy,,632.0000,,GBP,12,2025-06-23 18:52:49.345,2025-06-23 18:52:49.345
11,PAY,2025-03-31,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-03-31,Buy Dividends,,632.0000,,GBP,41,2025-06-23 18:52:49.346,2025-06-23 18:52:49.346
12,PAY,2025-03-25,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-03-25,Buy,,632.9000,,GBP,19,2025-06-23 18:52:49.348,2025-06-23 18:52:49.348
13,PAY,2025-03-25,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-03-25,Transfer From,,,,GBP,19,2025-06-23 18:52:49.349,2025-06-23 18:52:49.349
14,PAY,2025-03-25,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-03-25,Transfer From,,,,GBP,20,2025-06-23 18:52:49.35,2025-06-23 18:52:49.35
15,PAY,2025-03-25,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-03-25,Buy,,632.9000,,GBP,20,2025-06-23 18:52:49.351,2025-06-23 18:52:49.351
16,PAY,2025-02-25,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-02-24,Transfer From,,,,GBP,18,2025-06-23 18:52:49.353,2025-06-23 18:52:49.353
17,PAY,2025-02-25,Nick Wiles held the position of CEO at the time of this trade.Nick Wiles,,2025-02-24,Buy,,680.0000,,GBP,18,2025-06-23 18:52:49.354,2025-06-23 18:52:49.354
18,PAY,2025-02-25,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-02-24,Transfer From,,,,GBP,19,2025-06-23 18:52:49.355,2025-06-23 18:52:49.355
19,PAY,2025-02-25,Rob Harding held the position of CFO at the time of this trade.Rob Harding,,2025-02-24,Buy,,680.0000,,GBP,19,2025-06-23 18:52:49.357,2025-06-23 18:52:49.357
