id,ticker,report_type,period_end,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,equity_ratio,gross_margin,operating_margin,net_margin,roe,roa,roic,asset_turnover,inventory_turnover,receivables_turnover,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,book_value_per_share,revenue_per_share,cash_per_share,created_at
,KZG.L,annual,2024-06-30,0.5258621,0.5258621,0.5258621,0.006113964,0.0061342167,1.0033125,-25.166666,-554.0,-470.5,-0.34519443,-0.34633788,-0.41087762,0.000736106,,,,,,,0.008731587,6.406153e-06,6.512922e-05,2025-06-24 03:53:24.526072
,KZG.L,annual,2023-06-30,7.9685864,7.9685864,7.9685864,0.0,0.0,0.9976564,-4.0,-52.967743,216.32259,0.60589087,0.6044709,-0.15890835,0.0027943032,,,,,,,0.011817217,3.309846e-05,0.00081251375,2025-06-24 03:53:24.526072
,KZG.L,annual,2022-06-30,1.643871,1.643871,1.643871,,,0.8446394,0.0,-7.542056,-18.700935,-0.5069673,-0.42820457,-0.19995044,0.022897497,,,,,,,0.0042116386,0.00011417414,0.0006797096,2025-06-24 03:53:24.526072
,KZG.L,annual,2021-06-30,0.1352518,0.1352518,0.1352518,,,0.8260188,0.0,-21.163637,-20.836363,-0.36242884,-0.29937303,-0.30785507,0.014367816,,,,,,,0.0045186426,7.859751e-05,6.716515e-05,2025-06-24 03:53:24.526072
,KZG.L,annual,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,2025-06-24 03:53:24.526072
,JDW.L,annual,2024-07-31,0.076171376,0.076171376,0.076171376,2.831921,0.5972453,0.21089756,,0.07056939,0.023967084,0.121468425,0.025617395,0.07776575,1.0688574,,,,,,,,,,2025-06-24 03:53:24.111653
,JDW.L,annual,2023-07-31,0.11127195,0.11127195,0.11127195,2.8449347,0.59352523,0.20862526,,0.055643406,0.030953579,0.1442582,0.030095903,0.056593355,0.9722916,,,,,,,3.2082136,14.95178,0.67707103,2025-06-24 03:53:24.111653
,JDW.L,annual,2022-07-31,0.046711814,0.046711814,0.046711814,4.3667617,0.68586653,0.15706526,0.057613514,0.031660285,0.011069953,0.059856784,0.009401421,0.027428243,0.8492738,,,,,,,2.5000746,13.518252,0.3133744,2025-06-24 03:53:24.111653
,JDW.L,annual,2021-07-31,0.05244384,0.05244384,0.05244384,5.089259,0.7039491,0.13832055,-0.09322184,-0.1414773,-0.22911766,-0.63676494,-0.08807767,-0.05564414,0.38442114,,,,,,,2.1590421,6.00042,0.35268307,2025-06-24 03:53:24.111653
,JDW.L,annual,2020-07-31,,,,,,,,,,,,,,,,,,,,,,,2025-06-24 03:53:24.111653
,AML.L,quarterly,2025-03-31,,,,,,,0.2787516,-0.27575886,-0.3420265,,,,,,,,,,,,,,2025-06-24 03:53:24.676255
,AML.L,annual,2024-12-31,0.29859668,0.29859668,0.29859668,2.0047286,0.46936584,0.23412937,0.368647,-0.05221289,-0.20424269,-0.43704405,-0.10232485,-0.029515687,0.5009964,,,,,,,0.79057974,1.6917039,0.38407522,2025-06-24 03:53:24.676255
,AML.L,quarterly,2024-06-30,0.15143809,0.15143809,0.15143809,1.7938117,0.43643776,0.24330187,0.3972562,-0.12734865,-0.20548762,-0.09309553,-0.022650316,-0.014882197,0.11022716,,,,,,,0.8970631,0.40641168,0.20932685,2025-06-24 03:53:24.676255
,AML.L,quarterly,2024-03-31,,,,,,,0.3724318,-0.21329847,-0.5188644,,,,,,,,,,,,,,2025-06-24 03:53:24.676255
,AML.L,annual,2023-12-31,0.3488155,0.3488155,0.3488155,1.2933614,0.36779076,0.28436813,0.39147475,-0.0472195,-0.13969868,-0.2527984,-0.071887806,-0.02772783,0.5145919,,,,,,,1.0954713,1.9823622,0.47640797,2025-06-24 03:53:24.676255
,AML.L,annual,2022-12-31,0.46244958,0.46244958,0.46244958,1.8620738,0.4222852,0.2267822,0.3262396,-0.08534202,-0.38262758,-0.7508523,-0.17027994,-0.046166494,0.44502786,,,,,,,1.0075033,1.977082,0.78782743,2025-06-24 03:53:24.676255
,AML.L,annual,2021-12-31,0.37550986,0.37550986,0.37550986,2.1804993,0.45474055,0.2085488,0.31379533,-0.0678353,-0.17492925,-0.32321188,-0.06740545,-0.030656872,0.38532978,,,,,,,1.8867829,3.4861557,1.3332883,2025-06-24 03:53:24.676255
,AML.L,annual,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,2025-06-24 03:53:24.676255
,BGO.L,annual,2023-12-31,0.17638691,0.17638691,0.17638691,0.38133344,0.15047435,0.39460048,0.8595167,-0.11035186,-0.19146167,-0.32102716,-0.12667748,-0.07713068,0.6616336,,,,,,,0.35799503,0.6002566,0.048439298,2025-06-24 03:53:24.759635
,BGO.L,annual,2022-12-31,0.4866941,0.4866941,0.4866941,0.08402239,0.036930904,0.43953648,0.9062478,-0.09280449,-0.07511408,-0.0680575,-0.029913753,-0.042795636,0.39824432,,,,,,,0.41193816,0.3732387,0.12782344,2025-06-24 03:53:24.759635
,BGO.L,annual,2021-12-31,3.2766278,3.2766278,3.2766278,0.0028521759,0.002492404,0.8738606,0.9405429,0.026323415,0.021348532,0.012006302,0.010491834,0.016306624,0.4914546,,,,,,,0.4843077,0.2723721,0.11453205,2025-06-24 03:53:24.759635
,BGO.L,annual,2020-12-31,3.976018,3.976018,3.976018,0.0061366465,0.005471289,0.8915764,0.97160643,0.100425586,0.37667534,0.18015008,0.16061755,0.054588772,0.42640844,,,,,,,0.44058952,0.21071789,0.106516734,2025-06-24 03:53:24.759635
,HWDN.L,annual,2024-12-31,0.6197691,0.6197691,0.6197691,0.603349,0.30435756,0.504447,0.61629564,0.14607468,0.10735972,0.22087356,0.111419,0.17910133,1.0378101,,,,,,,2.0388672,4.1946073,0.620674,2025-06-24 03:53:24.852527
,HWDN.L,annual,2023-12-31,0.5207624,0.5207624,0.5207624,0.6996116,0.33155727,0.4739162,0.60751224,0.14721537,0.11017352,0.26022077,0.12332284,0.19094124,1.1193509,,,,,,,1.7673674,4.174376,0.5108458,2025-06-24 03:53:24.852527
,HWDN.L,annual,2022-12-31,0.5305771,0.5305771,0.5305771,0.76322126,0.32729864,0.42883846,0.60853815,0.17904268,0.16136265,0.42927614,0.18409012,0.24073751,1.1408472,,,,,,,1.554065,4.134309,0.54910177,2025-06-24 03:53:24.852527
