spike_timestamp,lse_ticker,yahoo_ticker,spike_multiple_21d,spike_multiple_63d,volume_on_spike_date,avg_volume_21d,avg_volume_63d,buys_12m_before,sells_12m_before,buy_sell_ratio,net_value_12m_before,validation_score,validation_status,created_at,setup_id_new
2024-11-22 00:00:00,BGO,BGO.L,57.06,30.71,4195108,73516,136606,6,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.642,BGO_2024-11-22
2024-10-08 00:00:00,BGO,BGO.L,19.78,12.55,2071106,104722,165022,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.653,BGO_2024-10-08
2025-01-07 00:00:00,BGO,BGO.L,18.59,8.5,1621512,87233,190774,7,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.664,BGO_2025-01-07
2024-09-03 00:00:00,BGO,BGO.L,16.86,7.96,1079028,64010,135495,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.676,BGO_2024-09-03
2024-07-12 00:00:00,BGO,BGO.L,11.46,4.14,875482,76416,211724,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.687,
2024-07-18 00:00:00,BGO,BGO.L,9.71,6.7,1653299,170263,246727,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.698,
2024-07-15 00:00:00,BGO,BGO.L,9.58,4.79,1108099,115693,231246,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.764,
2024-07-10 00:00:00,BGO,BGO.L,7.32,2.33,485762,66351,208757,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.787,
2025-05-27 00:00:00,BGO,BGO.L,5.86,5.18,442410,75436,85366,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.799,
2025-04-02 00:00:00,BGO,BGO.L,4.23,1.98,277746,65628,140394,7,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.811,
2025-04-04 00:00:00,BGO,BGO.L,4.22,2.05,294917,69832,143722,7,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.824,
2025-05-20 00:00:00,BGO,BGO.L,3.88,2.76,236508,60981,85579,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.837,
2025-01-20 00:00:00,BGO,BGO.L,3.72,3.04,560162,150658,184074,7,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.852,
2025-05-01 00:00:00,BGO,BGO.L,3.45,3.52,317901,92166,90416,5,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.865,
2025-04-08 00:00:00,BGO,BGO.L,3.08,2.21,267226,86698,120864,7,0,1.0,0.0,0.0,pending,2025-05-27 23:57:48.878,
