id,ticker,setup_id,title,publisher,link,provider_publish_time,content_summary,sentiment_score,relevance_score,article_type,setup_date_window,days_before_setup,created_at,updated_at
1,LGEN.L,LGEN_2025-05-29,Read This Before Judging Legal & General Group Plc's (LON:LGEN) ROE,Simply Wall St.,https://finance.yahoo.com/news/read-judging-legal-general-group-050441894.html,2025-05-15 05:04:41,"Read This Before Judging Legal & General Group Plc's (LON:LGEN) ROE. One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",0.0,1.0,story,2025-05-29,13,2025-06-26 00:46:42.03508,2025-06-26 00:46:42.03508
2,LGEN.L,LGEN_2025-05-29,Pension funds deal to back £50bn of investment for UK private markets and infrastructure,Yahoo Finance UK,https://uk.finance.yahoo.com/news/pensions-funds-mansion-house-accord-uk-business-050034287.html,2025-05-13 05:00:34,Pension funds deal to back £50bn of investment for UK private markets and infrastructure. A new agreement with Britain's biggest pension funds is set to unlock up to £50bn of investment for UK private firms and major infrastructure projects.,0.0,1.0,story,2025-05-29,15,2025-06-26 00:46:42.039588,2025-06-26 00:46:42.039588
3,LGEN.L,LGEN_2025-05-29,The most bought stocks and funds for investors in April,Yahoo Finance UK,https://uk.finance.yahoo.com/news/most-bought-stocks-funds-april-112327711.html,2025-05-07 11:23:27,"The most bought stocks and funds for investors in April. April was a particularly volatile month for markets, amid different developments around US president Donald Trump's tariff agenda.",0.0,1.0,story,2025-05-29,21,2025-06-26 00:46:42.042595,2025-06-26 00:46:42.042595
4,LGEN.L,LGEN_2025-05-29,"Six FTSE 100 stock ideas for the second quarter, according to Barclays",Yahoo Finance UK,https://uk.finance.yahoo.com/news/ftse-uk-stock-ideas-barclays-100130543.html,2025-04-17 10:01:30,"Six FTSE 100 stock ideas for the second quarter, according to Barclays. While uncertainty remains high amid Trump's tariff blitz, Barclays analysts have highlighted six UK stock ideas for the second quarter.",0.0,1.0,story,2025-05-29,41,2025-06-26 00:46:42.044597,2025-06-26 00:46:42.044597
5,KZG.L,KZG_2025-05-07,Pleasing Signs As A Number Of Insiders Buy Kazera Global Stock,Simply Wall St.,https://finance.yahoo.com/news/pleasing-signs-number-insiders-buy-102630114.html,2025-05-02 10:26:30,"Pleasing Signs As A Number Of Insiders Buy Kazera Global Stock. Generally, when a single insider buys stock, it is usually not a big deal. However, when several insiders are buying...",0.0,1.0,story,2025-05-07,4,2025-06-26 02:01:09.505931,2025-06-26 02:01:09.505931
6,MSLH.L,MSLH_2025-03-20,Marshalls' (LON:MSLH) Dividend Will Be £0.054,Simply Wall St.,https://finance.yahoo.com/news/marshalls-lon-mslh-dividend-0-074043183.html,2025-03-22 07:40:43,Marshalls' (LON:MSLH) Dividend Will Be £0.054. Marshalls plc's ( LON:MSLH ) investors are due to receive a payment of £0.054 per share on 1st of July. This means that...,0.0,1.0,story,2025-03-20,-3,2025-06-26 12:30:05.1511,2025-06-26 12:30:05.1511
7,MSLH.L,MSLH_2025-03-20,March 2025's Undervalued Small Caps With Insider Action In Global,Simply Wall St.,https://finance.yahoo.com/news/march-2025s-undervalued-small-caps-090928410.html,2025-03-19 09:09:28,"March 2025's Undervalued Small Caps With Insider Action In Global. As global markets navigate a challenging landscape marked by easing U.S. inflation and ongoing trade policy uncertainties, small-cap stocks have faced significant headwinds, with indices like the Russell 2000 experiencing notable declines. Despite these pressures, opportunities may arise for investors seeking value in small-cap companies that demonstrate resilience and potential growth amid economic fluctuations.",0.0,1.0,story,2025-03-20,0,2025-06-26 12:30:05.1571,2025-06-26 12:30:05.1581
8,MSLH.L,MSLH_2025-03-20,Marshalls Full Year 2024 Earnings: EPS Misses Expectations,Simply Wall St.,https://finance.yahoo.com/news/marshalls-full-2024-earnings-eps-051146583.html,2025-03-18 05:11:46,Marshalls Full Year 2024 Earnings: EPS Misses Expectations. Marshalls ( LON:MSLH ) Full Year 2024 Results Key Financial Results Revenue: UK£619.2m (down 7.7% from FY 2023). Net...,0.0,1.0,story,2025-03-20,1,2025-06-26 12:30:05.1601,2025-06-26 12:30:05.1601
9,MSLH.L,MSLH_2025-03-20,"Trending tickers: Nvidia, Berkshire Hathaway, Baidu, QinetiQ and AstraZeneca",Yahoo Finance UK,https://uk.finance.yahoo.com/news/nvidia-berkshire-hathaway-baidu-qinetiq-astrazeneca-trending-tickers-110203899.html,2025-03-17 11:02:03,"Trending tickers: Nvidia, Berkshire Hathaway, Baidu, QinetiQ and AstraZeneca. The latest investor updates on stocks that are trending on Monday.",0.0,1.0,story,2025-03-20,2,2025-06-26 12:30:05.1621,2025-06-26 12:30:05.1621
10,SSPG.L,SSPG_2025-03-14,"With 82% ownership of the shares, SSP Group plc (LON:SSPG) is heavily dominated by institutional owners",Simply Wall St.,https://finance.yahoo.com/news/82-ownership-shares-ssp-group-123646948.html,2025-03-12 12:36:46,"With 82% ownership of the shares, SSP Group plc (LON:SSPG) is heavily dominated by institutional owners. Key Insights Given the large stake in the stock by institutions, SSP Group's stock price might be vulnerable to their...",0.0,1.0,story,2025-03-14,1,2025-06-26 12:35:55.351409,2025-06-26 12:35:55.351409
