lse_ticker,yahoo_ticker,company_name,created_at
CTA,CTA.L,Ct Automotive,2025-05-27 23:44:43.006
BOWL,BOWL.L,Hollywood Bwl,2025-05-27 23:44:43.316
RWS,RWS.L,RWS Holdings,2025-05-27 23:44:43.576
BGO,BGO.L,Bango,2025-05-27 23:44:43.831
ONDO,ONDO.L,Ondo Insurtech,2025-05-27 23:44:44.059
IHP,IHP.L,IntegraFin Holdings,2025-05-27 23:44:44.304
BOOM,BOOM.L,Audioboom Grp.,2025-05-27 23:44:44.548
HLCL,HLCL.L,Helical Bar,2025-05-27 23:44:44.782
PSON,PSON.L,Pearson,2025-05-27 23:44:45.034
MRK,MRK.L,Marks Electric,2025-05-27 23:44:45.282
GPE,GPE.L,GPE,2025-05-27 23:44:45.541
WINV,WINV.L,Worsley Inv Ltd,2025-05-27 23:44:45.773
SMIN,SMIN.L,Smiths Group,2025-05-27 23:44:46.266
WJG,WJG.L,,2025-05-28 00:06:04.262
HIK,HIK.L,,2025-05-28 00:06:04.623
IGG,IGG.L,,2025-05-28 00:06:04.88
HBR,HBR.L,,2025-05-28 00:06:05.153
CAN,CAN.L,,2025-05-28 00:06:05.397
JHD,JHD.L,,2025-05-28 00:06:05.624
DGE,DGE.L,,2025-05-28 00:06:05.929
IMI,IMI.L,,2025-05-28 00:06:06.25
SPT,SPT.L,,2025-05-28 00:06:06.508
AAIF,AAIF.L,,2025-05-28 00:06:06.759
CMCL,CMCL.L,,2025-05-28 00:06:07.006
CRL,CRL.L,,2025-05-28 00:06:07.258
STAF,STAF.L,,2025-05-28 00:06:07.503
CNA,CNA.L,,2025-05-28 00:06:07.775
SNR,SNR.L,,2025-05-28 00:06:08.023
HWDN,HWDN.L,,2025-05-28 02:19:34.534
AML,AML.L,,2025-05-28 02:19:34.801
JDW,JDW.L,,2025-05-28 02:19:35.046
HFG,HFG.L,,2025-05-28 02:19:35.375
BYG,BYG.L,,2025-05-28 02:19:35.609
JUST,JUST.L,,2025-05-28 02:19:35.856
KZG,KZG.L,,2025-05-28 02:19:36.082
IBST,IBST.L,,2025-05-28 02:19:36.327
CPX,CPX.L,CAP-XX,2025-05-28 11:45:41.067
TRI,TRI.L,,2025-05-28 11:45:41.375
LWDB,LWDB.L,,2025-05-28 11:45:41.754
PTEC,PTEC.L,Playtech,2025-05-28 11:45:42.08
CAU,CAU.L,Centaur,2025-05-28 11:45:42.358
CCEP,CCEP.L,Coca-cola Euro.,2025-05-28 11:45:42.64
NCC,NCC.L,Ncc,2025-05-28 11:45:42.954
POLR,POLR.L,Polar Capital,2025-05-28 11:45:43.324
JMAT,JMAT.L,Johnson Matthey,2025-05-28 11:45:43.637
SCT,SCT.L,Softcat,2025-05-28 11:45:43.956
WISE,WISE.L,Wise Plc,2025-05-28 11:45:44.26
MILA,MILA.L,Mila Resources,2025-05-28 11:45:44.575
NET,NET.L,Netcall,2025-05-28 11:45:44.92
WKP,WKP.L,Workspace,2025-05-28 11:45:45.192
MAFL,MAFL.L,Mineral & Financial Investments,2025-05-28 11:45:45.455
MPE,MPE.L,M P Evans,2025-05-28 11:45:45.742
CNS,CNS.L,Corero Network,2025-05-28 11:45:46.012
SEE,SEE.L,Seeing Machines,2025-05-28 11:45:46.273
PRIM,PRIM.L,Primorus Inv.,2025-05-28 11:45:46.639
GYM,GYM.L,Gym Grp,2025-05-28 11:45:46.916
LMP,LMP.L,LondonMetric,2025-05-28 11:45:47.203
TSCO,TSCO.L,Tesco,2025-05-28 11:45:47.468
OIG,OIG.L,Oryx International Growth,2025-05-28 11:45:47.73
SVT,SVT.L,Severn Trent,2025-05-28 11:45:48.05
PNN,PNN.L,Pennon,2025-05-28 11:45:48.418
MSLH,MSLH.L,Marshalls,2025-05-28 11:45:48.763
BRH,BRH.L,Braveheart Investments,2025-05-28 11:45:49.067
RIO,RIO.L,Rio Tinto,2025-05-28 11:45:49.388
PZC,PZC.L,Pz Cussons,2025-05-28 11:45:49.669
KIE,KIE.L,Kier,2025-05-28 11:45:50.007
BLND,BLND.L,British Land,2025-05-28 11:45:50.276
OGN,OGN.L,Origin,2025-05-28 11:45:50.626
SUPR,SUPR.L,Supermarket Income,2025-05-28 11:45:50.971
UTL,UTL.L,Util,2025-05-28 11:45:51.25
GAMA,GAMA.L,Gamma Communications,2025-05-28 11:45:51.61
CGEO,CGEO.L,Georgia Capital,2025-05-28 11:45:51.888
SRE,SRE.L,Sirius Real Estate,2025-05-28 11:45:52.184
MTO,MTO.L,Mitie,2025-05-28 11:45:52.485
BYIT,BYIT.L,Bytes Tech,2025-05-28 11:45:52.799
SSPG,SSPG.L,SSP Group,2025-05-28 11:45:53.125
SAFE,SAFE.L,Safestore,2025-05-28 11:45:53.469
CCH,CCH.L,Coca-Cola HBC,2025-05-28 11:45:53.742
MSI,MSI.L,Ms Intl.,2025-05-28 11:45:54.011
BAB,BAB.L,Babcock,2025-05-28 11:45:54.312
TKO,TKO.L,Taseko Mines L.,2025-05-28 18:13:17.514
SXS,SXS.L,Spectris,2025-05-28 18:13:18.13
FRP,FRP.L,Frp Advisory Group,2025-05-28 18:13:18.493
FCIT,FCIT.L,F&C Investment Trust,2025-05-28 18:13:18.842
FDM,FDM.L,FDM Group,2025-05-28 18:13:19.232
BAG,BAG.L,Barr (A.G.),2025-05-28 18:13:19.574
DPLM,DPLM.L,Diploma,2025-05-28 18:13:19.973
CLI,CLI.L,CLS Holdings,2025-05-28 18:13:20.304
LIFS,LIFS.L,Lifesafe Hldg,2025-05-28 18:13:20.636
BNZL,BNZL.L,Bunzl,2025-05-28 18:13:20.94
JDG,JDG.L,Judges Scientific,2025-05-28 19:36:27.024
RKT,RKT.L,Reckitt,2025-05-30 00:19:31.448
WINE,WINE.L,Naked Wine,2025-05-30 00:19:32.815
BIRG,BIRG.L,Bank Of Ireland,2025-05-30 00:19:34.184
TON,TON.L,Titon,2025-05-30 00:19:35.502
UPR,UPR.L,Uniphar,2025-05-30 00:19:37.03
SSIT,SSIT.L,Seraphim Sp,2025-05-30 00:19:38.324
CRPR,CRPR.L,Cropper (J),2025-05-30 00:19:39.622
SGRO,SGRO.L,Segro,2025-05-30 00:19:40.916
CRN,CRN.L,Cairn Homes,2025-05-30 00:19:42.192
OSB,OSB.L,OneSavings Bank,2025-05-30 00:19:43.479
LLOY,LLOY.L,Lloyds,2025-05-30 00:19:44.801
BATS,BATS.L,British American Tobacco,2025-05-30 00:19:46.099
TRN,TRN.L,Trainline,2025-05-30 00:19:47.41
BPCR,BPCR.L,Biopharma Cred.,2025-05-30 00:19:48.731
IPC,IPC.L,Intl Paper Co,2025-05-30 19:25:44.777
KOS,KOS.L,Kosmos Energy,2025-05-30 19:25:54.566
WTB,WTB.L,Whitbread,2025-05-30 19:26:05.862
PFD,PFD.L,Premier Foods,2025-05-30 19:26:18.463
ENOG,ENOG.L,Energean Oil & Gas,2025-05-30 19:26:31.964
GRI,GRI.L,Grainger plc,2025-05-30 19:26:39.351
CVCE,CVCE.L,Cvc Ig Eur,2025-05-30 19:26:41.5
PHNX,PHNX.L,Phoenix Group Holdings,2025-06-06 02:53:35.184
