post_id,setup_id,ticker,post_date,user_handle,post_content,scraping_timestamp,post_url
BGO_20241008_20241004_111600_8e7290c4,BGO_20241008,BGO,2024-10-04 11:16:00,bigpunt,"What on earth is ""cash profit""?  And what follows is platitudinous nonsense.  How can anyone have any credibility in a report that uses an oxymoron like it is recognised jargon",2025-05-28 01:41:30.441,https://www.lse.co.uk/profiles/bigpunt/
BGO_20241008_20241003_201600_0e9e0bef,BGO_20241008,BGO,2024-10-03 20:16:00,ICB888,"IC Buy rating in tomorrow’s magazine:Bango’s discount rating is primed to narrowSimon Thompson: Strong demand for Bango's payment service from content providers and telecom companiesSimon Thompson18 per cent higher first-half revenue of $24.1mnAnnual recurring revenue (ARR) up 130 per cent to $12.9mnAdjusted cash profit of $4mn reverses loss of $0.2mnAs content providers look for new ways to attract, engage and monetise their subscribers, bundling with telecom services is increasingly the answer. For telecom operators, offering subscription bundles increases the value of their network services, reduces churn rates and enables customers to manage their subscriptions in one place, too.These dynamics explain the bumper annual recurring revenue growth reported by Aim-traded mobile payment platform provider Bango (BGO:115p). Specifically, its digital vending machine (DVM) service enables customers of telecom companies to manage and pay for all their subscriptions in a single place and on one bill.In the first half, Bango signed four new DVM contracts, including one with a Latin American bank, extended an existing contract with a European telecoms operator, and added 13 subscription content providers to its DVM service to take the total past 100 for the first time. Ultimately, DVM exists to allow content owners to grow and expand, hence why it is increasingly the platform subscription content providers are choosing. For instance, the international taxi group Uber joined the Bango DVM to help drive the adoption of its Uber One subscription service (food delivery, taxi rides).Growth from the group’s DVM enterprise-grade solution explains Bango’s 159 per cent net revenue retention rate – a measure of the retention and expansion of revenue from existing customers – from a high-margin business segment that boasts a gross margin of 95 per cent and is becoming an increasingly important part of the group.”",2025-05-28 01:41:30.442,https://www.lse.co.uk/profiles/icb888/
BGO_20241008_20241003_201500_0e9e0bef,BGO_20241008,BGO,2024-10-03 20:15:00,ICB888,"Hefty second-half weightingTrue, there is a heavy second-half weighting to forecasts as Bango’s first-half cash profit of $4mn (£3mn) accounts for only a quarter of Singer Capital Markets maintained full-year estimate of $16.8mn, up from $6.4mn in the 2023 financial year.Analyst estimates are based on 16 per cent higher full-year revenue of $53.5mn, implying revenue of $29.4mn is needed to deliver $12.8mn of cash profit in the second half. That may seem a stretch, but the business has relatively flat operating expenditure and is highly operationally geared. It means that the drop-through of incremental gross profit to cash profit is accentuated in a strong revenue cycle and one that will benefit from an increasing contribution from the DVM high-margin business.The directors have confidence in hitting analysts’ full-year pre-tax profit estimate of $5.2mn, which underpins their earnings per share (EPS) forecast of 5.9¢. Expect second-half cash flow to drive down net debt from $5.1mn to $2.9mn by the year-end, too. On this basis, Bango’s enterprise valuation to cash profit multiple is only 7.3 times, or less than half that of peers (Boku (BOKU), Fonix Mobile (FNX) and Eagle Eye Solutions ( EYE)).So, having upgraded my recommendation at the annual results (‘Why Bango’s share price is set to recover strongly’, 8 April 2024), I see the profit taking since the pre-close trading update (‘This payment business's re-rating has further to run’, 16 July 2024) as a repeat buying opportunity. Buy.",2025-05-28 01:41:30.443,https://www.lse.co.uk/profiles/icb888/
BGO_20241008_20241003_130200_b3024207,BGO_20241008,BGO,2024-10-03 13:02:00,casualinvestor11,"Good set of results, and now random large sell off, this feels like super value but needs some encouragement at some point",2025-05-28 01:41:30.444,https://www.lse.co.uk/profiles/casualinvestor11/
BGO_20241008_20241001_081700_30e51919,BGO_20241008,BGO,2024-10-01 08:17:00,Troajan,Https://www.proactiveinvestors.co.uk/companies/news/1057288/bango-ceo-paul-larbey-on-strong-h1-performance-progress-with-four-strategic-pillars-1057288.html,2025-05-28 01:41:30.444,https://www.lse.co.uk/profiles/troajan/
BGO_20241008_20240930_193400_5ddeedbb,BGO_20241008,BGO,2024-09-30 19:34:00,Couerdelion,Nothing here in the results to worry me. I've only got a small holding here but I don't have any doubt that the SP will cover in time once the Autumn Budget it out of the way.,2025-05-28 01:41:30.445,https://www.lse.co.uk/profiles/couerdelion/
BGO_20241008_20240930_123900_719bdec7,BGO_20241008,BGO,2024-09-30 12:39:00,ChrisP1234,"Solid set of results, but again they are selling into any buys… Let’s hope we get some director buyers and/or a hedge fund taking a position.",2025-05-28 01:41:30.445,https://www.lse.co.uk/profiles/chrisp1234/
BGO_20241008_20240930_114600_05242e86,BGO_20241008,BGO,2024-09-30 11:46:00,iWantThatOne,"Good to see reiteration of expectation of hitting FY targets today. Singer says:“Investors’ focus on Bango’s near-term profitability is of course legitimate, but in-so-doing, this has driven the stock to levels, which undervalues the company’s strong top-line progress, especially that of its DVM business, which grew ARR +130% y/y to $12.9m, thanks to growing uptake from blue-chip logos, such that 3 of the largest 5 US telco’s are now customers. Not only does this demonstrate DVM is an enterprise grade solution, but also highlights Bango’s growth potential – both with existing customers and the broader market. Highlighting this, we believe there is significant growth potential, just from existing logos and - alongside a consistent DCB business - $80m/revs is an achievable medium-term target. “And “Providing BGO successfully executes in H2, then the optics should radically change, and so too the share price. “",2025-05-28 01:41:30.446,https://www.lse.co.uk/profiles/iwantthatone/
BGO_20241008_20240924_153000_05242e86,BGO_20241008,BGO,2024-09-24 15:30:00,iWantThatOne,"Just looked at the figures again and there should be optimism about the company hitting its annual targets. Adding 6% growth (per H1) to H2 ‘23 payments revenue would get us to $34.6m, to which we add the H1 ‘24 DVM etc revenue of $7.7m. That’s $42.3m in total, meaning we need c$11m DVM etc in H2. That should be achievable given the pace of growth, illustrated by the ARR. In FY ‘22 ARR was $5.0m against revenue of $10.2m. In FY ‘23 the corresponding figures were $8.8m and $13.4m. At HY 24 the ARR was $12.9m - suggesting the year’s revenue could easily be high teens, as required. I think once the annual trading statement is released in January ‘25 it’ll be game on again here. Until then I expect there’s a lot of caution about whether they can do it. Not helped by the company’s pathetic PR machine.",2025-05-28 01:41:30.446,https://www.lse.co.uk/profiles/iwantthatone/
BGO_20241008_20240924_123500_8c115e2d,BGO_20241008,BGO,2024-09-24 12:35:00,Masterfly7,"Upcoming budget: AIM shares used for estate planning, capital gains tax treatment etc. not a huge amount of incentive for PI to take a punt!",2025-05-28 01:41:30.447,https://www.lse.co.uk/profiles/masterfly7/
